City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Chissamba,AO,2022-12-07 23:32:53,-12.1667,17.3333,289.28,94,100,2.08
252,Faranah,GN,2022-12-07 23:32:54,10.0404,-10.7434,296.31,39,2,0.4
253,Hervey Bay,AU,2022-12-07 23:32:54,-25.2986,152.8535,299.67,75,58,8.81
254,Neiafu,TO,2022-12-07 23:32:55,-18.65,-173.9833,303.53,74,75,4.63
255,Los Llanos De Aridane,ES,2022-12-07 23:32:55,28.6585,-17.9182,293.01,90,20,4.63
256,Petropavlovsk-Kamchatskiy,RU,2022-12-07 23:32:56,53.0452,158.6483,265.48,93,100,2.0
257,Kamenka,RU,2022-12-07 23:32:56,51.3223,42.7678,262.63,66,3,6.39
258,Ca Mau,VN,2022-12-07 23:32:57,9.1769,105.15,297.36,94,99,3.21
259,Matara,LK,2022-12-07 23:32:57,5.9485,80.5353,298.07,72,100,6.29
260,Acapulco,MX,2022-12-07 23:32:58,16.8634,-99.8901,302.05,74,0,2.57
261,Umm Kaddadah,SD,2022-12-07 23:32:59,13.6017,26.6876,287.95,22,3,5.46
262,Fereydun Kenar,IR,2022-12-07 23:32:59,36.6864,52.5225,282.24,73,14,2.4
263,Aswan,EG,2022-12-07 23:34:00,24.0934,32.907,286.76,44,0,2.57
264,Tondano,ID,2022-12-07 23:34:00,1.3038,124.9112,296.2,76,99,0.61
265,Shingu,JP,2022-12-07 23:34:01,33.7333,135.9833,283.5,60,0,1.68
266,Bossangoa,CF,2022-12-07 23:34:02,6.4926,17.4552,294.45,30,86,1.38
267,Yamada,JP,2022-12-07 23:34:02,39.4667,141.95,278.84,68,60,2.6
268,Victor Harbor,AU,2022-12-07 23:34:03,-35.5667,138.6167,289.82,57,55,1.34
269,Tuatapere,NZ,2022-12-07 23:34:04,-46.1333,167.6833,291.62,60,100,3.31
270,Hamilton,US,2022-12-07 23:29:17,39.1834,-84.5333,283.95,91,100,1.54
